image_id,sun_azimuth_angle,label,pseudo_prob
eval_00298.png,333.94,0,0.18379012
eval_00938.png,307.64,0,0.1956305
eval_01041.png,348.35,0,0.19708905
eval_01700.png,307.77,0,0.20296209
eval_01911.png,331.34,0,0.20397314
eval_01871.png,290.13,0,0.20448881
eval_01873.png,322.57,0,0.2075323
eval_01327.png,308.15,0,0.2137498
eval_01644.png,315.67,0,0.21407968
eval_01626.png,353.35,0,0.21494249
eval_01544.png,318.53,0,0.21517293
eval_01305.png,303.28,0,0.21529886
eval_00019.png,319.94,0,0.21742418
eval_00073.png,359.69,0,0.22018975
eval_00574.png,326.25,0,0.22188377
eval_01862.png,298.38,0,0.22347209
eval_01311.png,282.71,0,0.22361082
eval_01012.png,294.75,0,0.22509032
eval_00903.png,280.71,0,0.22556324
eval_01670.png,313.61,0,0.22567606
eval_00953.png,327.43,0,0.22613609
eval_01223.png,342.76,0,0.2263928
eval_01976.png,330.27,0,0.22671296
eval_01210.png,320.38,0,0.22735666
eval_01717.png,339.06,0,0.22824733
eval_01115.png,335.49,0,0.22831798
eval_01647.png,288.82,0,0.22939414
eval_01395.png,269.24,0,0.2302499
eval_01828.png,303.55,0,0.23036875
eval_01826.png,296.36,0,0.23121293
eval_01126.png,316.06,0,0.23142968
eval_00828.png,327.02,0,0.2319166
eval_01186.png,317.54,0,0.23201947
eval_00872.png,327.27,0,0.23241559
eval_00051.png,315.41,0,0.23249552
eval_01958.png,292.72,0,0.23289558
eval_00458.png,335.68,0,0.23357853
eval_01782.png,302.53,0,0.23358652
eval_00767.png,297.68,0,0.23359968
eval_01608.png,334.07,0,0.2344899
eval_01094.png,275.18,0,0.23523383
eval_00129.png,300.4,0,0.23598513
eval_00176.png,288.25,0,0.2366259
eval_00329.png,333.38,0,0.2374736
eval_00677.png,285.74,0,0.23934214
eval_01905.png,294.24,0,0.23954067
eval_00045.png,316.45,0,0.239959
eval_01725.png,319.22,0,0.24059871
eval_00234.png,327.35,0,0.24076198
eval_00946.png,301.74,0,0.24121755
eval_00136.png,338.77,0,0.24248353
eval_00690.png,327.99,0,0.2430322
eval_01739.png,298.78,0,0.24374445
eval_01154.png,313.53,0,0.24410407
eval_00717.png,313.62,0,0.24429299
eval_01426.png,331.2,0,0.24488233
eval_00341.png,269.31,0,0.24490213
eval_01557.png,338.91,0,0.24526648
eval_00864.png,288.44,0,0.2457327
eval_01724.png,300.41,0,0.24582191
eval_01058.png,321.53,0,0.24675052
eval_01864.png,273.96,0,0.24692987
eval_01030.png,337.12,0,0.24693564
eval_00327.png,352.7,0,0.24701902
eval_01780.png,285.97,0,0.24738626
eval_00666.png,337.85,0,0.24750847
eval_00063.png,348.59,0,0.2478222
eval_01994.png,298.43,0,0.24789871
eval_00486.png,282.67,0,0.2494671
eval_00369.png,330.11,0,0.24998301
eval_00519.png,337.44,0,0.25126284
eval_00549.png,324.43,0,0.25213683
eval_01357.png,309.55,0,0.25254574
eval_01554.png,325.59,0,0.25272098
eval_01511.png,294.56,0,0.2530582
eval_01984.png,302.19,0,0.2535198
eval_01564.png,294.9,0,0.25391603
eval_01801.png,292.73,0,0.2544933
eval_00813.png,294.28,0,0.25508872
eval_00291.png,264.14,0,0.25523046
eval_01331.png,331.48,0,0.25551903
eval_00622.png,302.56,0,0.2556054
eval_01781.png,319.72,0,0.2573812
eval_00737.png,277.85,0,0.25810683
eval_01992.png,295.43,0,0.25815672
eval_00965.png,259.01,0,0.25916517
eval_00883.png,332.69,0,0.25987697
eval_00475.png,294.97,0,0.25998896
eval_01580.png,298.35,0,0.26047367
eval_00371.png,311.21,0,0.2605125
eval_00024.png,291.05,0,0.26052818
eval_01804.png,329.12,0,0.2606184
eval_01749.png,2.06,0,0.26067933
eval_01755.png,257.81,0,0.26117948
eval_00630.png,322.35,0,0.261265
eval_01082.png,305.74,0,0.26130065
eval_00794.png,298.54,0,0.26157176
eval_00950.png,358.98,0,0.26170453
eval_01026.png,326.35,0,0.26201412
eval_00430.png,270.11,0,0.26217058
eval_00392.png,359.58,0,0.26253393
eval_00181.png,333.79,0,0.26254028
eval_00614.png,332.75,0,0.26279244
eval_01698.png,314.68,0,0.26348445
eval_01867.png,334.34,0,0.26365125
eval_00148.png,286.08,0,0.26386374
eval_01752.png,346.97,0,0.26391935
eval_00685.png,2.09,0,0.26411134
eval_01025.png,323.14,0,0.26480675
eval_01027.png,276.61,0,0.26532546
eval_01033.png,353.7,0,0.26588395
eval_01340.png,303.01,0,0.2663155
eval_01746.png,292.72,0,0.26755846
eval_01639.png,338.84,0,0.26773024
eval_01018.png,329.49,0,0.26777056
eval_00817.png,358.02,0,0.2678748
eval_00095.png,339.28,0,0.26794085
eval_01500.png,337.75,0,0.2679642
eval_01562.png,349.23,0,0.26798546
eval_00375.png,332.36,0,0.26808035
eval_01922.png,261.11,0,0.26852754
eval_01590.png,333.19,0,0.2693014
eval_01617.png,293.62,0,0.26960707
eval_00170.png,304.94,0,0.2699699
eval_00158.png,328.97,0,0.27020738
eval_00918.png,279.59,0,0.27041107
eval_00668.png,355.92,0,0.27073625
eval_00253.png,356.11,0,0.2708685
eval_00983.png,359.62,0,0.27163404
eval_01059.png,313.96,0,0.27191454
eval_01623.png,287.74,0,0.27253214
eval_00823.png,347.29,0,0.27265155
eval_01657.png,329.43,0,0.27333248
eval_01383.png,18.79,0,0.27345952
eval_00437.png,340.24,0,0.27360418
eval_01537.png,283.02,0,0.27439174
eval_01772.png,272.64,0,0.27496
eval_01979.png,283.19,0,0.27516216
eval_00595.png,2.21,0,0.27572358
eval_00420.png,1.12,0,0.27621472
eval_01189.png,314.11,0,0.27653235
eval_01316.png,322.08,0,0.27732176
eval_00184.png,342.39,0,0.27751657
eval_00359.png,295.43,0,0.27904603
eval_01008.png,312.42,0,0.27934527
eval_01660.png,280.13,0,0.27957556
eval_00799.png,302.77,0,0.2797912
eval_01392.png,320.05,0,0.28075436
eval_01254.png,8.64,0,0.2808568
eval_00820.png,11.56,0,0.2811749
eval_00376.png,3.45,0,0.2813825
eval_01563.png,268.48,0,0.28139532
eval_01854.png,313.01,0,0.2816388
eval_01156.png,314.66,0,0.2818448
eval_00880.png,279.66,0,0.28209448
eval_00188.png,344.36,0,0.28220993
eval_01547.png,355.07,0,0.2823171
eval_00145.png,313.63,0,0.28276646
eval_00197.png,270.41,0,0.28296983
eval_00591.png,301.22,0,0.28335488
eval_00306.png,2.03,0,0.2844725
eval_01760.png,10.72,0,0.2850271
eval_00137.png,306.66,0,0.28576478
eval_01212.png,265.91,0,0.28607836
eval_00663.png,358.13,0,0.2862267
eval_01995.png,268.25,0,0.28653347
eval_01642.png,283.73,0,0.28806472
eval_01827.png,319.71,0,0.28942335
eval_00843.png,261.62,0,0.29002458
eval_01294.png,16.24,0,0.29015717
eval_00868.png,291.14,0,0.290236
eval_01379.png,271.11,0,0.2908901
eval_01578.png,297.79,0,0.29126146
eval_01721.png,328.77,0,0.29141042
eval_00353.png,299.36,0,0.29332936
eval_01950.png,274.66,0,0.29341984
